"Name","NRIC","Age","Marital Status","Password","User Group","sort type"
"John","S1234567A","35","Single","password","applicant","name"
"Sarah","T7654321B","40","Married","password","applicant","name"
"Grace","S9876543C","37","Married","password","applicant","location"
"James","T2345678D","30","Married","password","applicant","name"
"Rachel","S3456789E","25","Single","password","applicant","name"
"Daniel","T2109876H","36","Single","password","officer","name"
"Emily","S6543210I","28","Single","password","officer","name"
"David","T1234567J","29","Married","password","officer","name"
"Michael","T8765432F","36","Single","password","manager","name"
"Jessica","S5678901G","26","Married","password","manager","name"
